"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Euro area","EMU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","25141592","25460140","25657218","25441720","25480884","25301486","25045242","24697498","24341016","23888242","23392066","22854182","22321410","21746506","21267402","20947434","20650510","20425638","20163698","19917042","19578846","19339288","19008060","18901250","18823548","18707214","19160660","19025288","19064890","18913656","18658912","18364116","18079102","17927866","17842328","17985480","18029304","18187344","18205668","18154284","18096532","18062904","18011430","18145458","18143002","18272148","18325406","18533022","18543732","18509660","18409128","",
"Eritrea","ERI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128504","115869","109087","150870","184492","207099","224287","241725","240737","","261963","295941","298691","330278","359299","374997","377512","364263","331855","314034","300129","286021","311737","334245","396398","361604","361684","","347009","349753","","","",
"Spain","ESP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3559425","3719113","3589080","3667516","3692600","3653320","3624136","3601948","3605324","3608854","3609623","3633713","3633906","3607755","3569744","3483948","3412939","3246655","3116889","2961953","2820497","2662490","2582343","2471084","2364910","2799960","2702553","2633678","2579908","2539995","2505203","2490744","2488319","2497513","2484903","2501205","2555757","2625414","2684078","2720989","2772909","2816584","2934648","2960626","3010404","3027751","3042396","3043396","3038332","","",
"Estonia","EST","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","131705","133655","134854","135649","136956","138573","148545","153202","153395","128132","127389","126050","122111","120667","121404","125718","126800","127823","126671","123406","117289","108637","100171","92098","85539","79589","76026","74629","73563","72955","73054","74249","75644","77215","79594","82824","85617","88107","89618","","",
"Ethiopia","ETH","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","655427","716729","762686","859831","959822","1084307","1176636","1143207","1377703","1811251","2130716","2374362","2511050","2497114","2407380","2448778","2736517","2884033","2855846","2662214","2466464","2063636","1855894","2283638","2722192","3380068","4007694","5092770","5167582","5847259","6650841","7213043","7623074","8269663","10019729","10971581","12174719","13379059","13570558","13635289","14297969","14532477","","15733276","16198047","","","","","20419152","",
"European Union","EUU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","39413588","39554468","39596564","39162468","39113360","38855104","38578704","38175536","37713104","37092408","36350396","35561900","35002724","34407420","33990628","33673540","33422430","33214478","32905546","32543048","32088742","31719350","31351106","31334434","31310466","31197024","31654300","31612724","31587428","31200420","30696080","30143996","29574686","29139568","28987448","28806654","28486596","28336438","28205336","27986066","27854184","27822464","27876802","28403736","28314604","28633408","28892772","29306096","29405338","29386012","29257310","",
"Fragile and conflict affected situations","FCS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","24550838","25417924","26586892","27765200","28693592","29542330","30953156","33357880","36034128","39238600","41894952","44759108","46900024","48375680","49650648","49752324","49345168","50006168","50643168","50870836","51306140","53798460","54981028","56883472","58622688","59403648","58386092","60805108","64144672","65312648","68825224","71879544","76720760","80160784","84405032","88757128","93006568","95358040","98425440","101401688","104526504","109695368","114235536","117512728","120602088","121437736","124874496","128741040","133113488","135739328","137689184","",
"Finland","FIN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","386230","379611","380865","393242","406058","453737","438804","422638","406921","390492","373347","365418","365965","369047","373583","379339","386914","389485","388756","389067","390587","392695","392537","390892","387306","384369","380932","381078","382746","388063","392150","393267","392741","387934","381785","372128","364902","357403","351095","347060","345615","347245","348432","351766","355231","359635","363990","368852","371103","","",
"Fiji","FJI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","97103","100508","102874","105659","105893","104950","103396","101986","101149","99119","98890","99418","","102319","105176","109032","112422","114740","","","","122008","121397","","121290","118631","115666","115965","116410","115945","114710","115312","114267","113432","113449","","109702","103641","102543","100967","","101384","102778","105037","","108727","110127","","","121666","117123","",
"France","FRA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","4939683","4853725","4759935","4724128","4670406","4601550","4568134","4618436","4647552","4650954","4610361","4535613","4387003","4259598","4126435","4115846","4118403","4151664","4176391","4163161","4149143","4109797","4060408","4078370","4071599","4065005","4004704","3979453","3944227","3884560","3837902","3807739","3791555","3783197","4015490","4051861","4105628","4139284","4152622","4159086","4171826","4155596","4171003","4188552","4255988","4284172","4309942","4302412","4299109","","",
"Faroe Islands","FRO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","22622","23096","24055","23605","23649","23321","24212","24331","24332","","","","","","","","","","","","","","","","","","","","","","","","","19105","18793","","18512","","","","","","","14307","13758","13819","","","13819","12805","",
"Gabon","GAB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","100625","105601","110466","114172","121407","128552","130398","140632","141569","148520","155081","160349","165559","172201","178813","183607","191280","195049","207023","","","210000","","229713","247018","250693","256171","","265244","","265714","281871","279816","","","","","","","","317946","","","","","","","","","","",
"United Kingdom","GBR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5806349","5880238","5888063","5876761","5811517","5725167","5636473","5495784","5326864","5133710","4910724","4688572","4474000","4368700","4275000","4296000","4322000","4370000","4414966","4487000","4532500","4559500","","","","","","4664429","4661234","4631623","4596110","4536143","4488162","4685733","4634991","4517618","4409184","4465021","4416474","4421903","4419840","4523583","4622158","4509479","4621192","4721647","4820283","4892502","4919259","","",
"Georgia","GEO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","322292","","","","","311458","","","","","352393","344447","309153","301732","291175","288509","293325","301022","302488","298352","277119","255029","239298","363951","338222","326597","322249","311265","298935","289137","285539","287245","287343","285329","288541","291447","301094","305368","316542","325016","",
"Ghana","GHA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","966906","975042","1025872","1035163","1072032","1180449","1237557","1270770","1320757","1371730","1443000","1504732","1504982","1481398","1550624","1505819","1565236","1581870","1705843","1703074","1945422","2011602","2047288","2138635","2154646","2197172","2333347","","2377444","2560886","2446417","2586434","2524237","2678912","2929536","3130575","3367157","3625178","3659116","","3860381","4062026","4105913","4117152","4342315","4358176","4393061","4401194","4549875","4584381","",
"Gibraltar","GIB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3382","3821","2812","2823","2759","2808","2677","2778","2737","2702","2750","2844","2852","2934","2830","","","","","","","","","","","","2729","","2607","2366","2377","","","","","","","3211","3255","","","","","","","2796","2834","","2889","2880","",
"Guinea","GIN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","191287","163982","190576","196411","203143","198849","225727","237999","252100","262833","257547","249905","247702","246129","287804","276438","270140","288914","302809","310064","346807","359406","421869","471792","544729","584161","649835","674732","726561","790497","853623","997645","1073458","1147388","1206743","1258038","1317791","1364491","1389685","1453355","1536722","1599839","1666156","1729630","","1776560","","","","2107661","",
"Gambia, The","GMB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17140","17463","19421","20724","22424","24617","25513","27560","32220","37468","47101","53000","58356","64531","69512","72917","74455","75093","73673","77767","86307","90645","97262","105471","113241","124513","133409","141567","170371","174626","181835","182562","196426","204731","205347","207474","218638","220931","224058","229013","228495","244033","255957","274903","293503","308729","329828","350323","374678","393057","",
"Guinea-Bissau","GNB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27974","32896","41437","49360","75634","81890","","83139","80590","76709","74539","74803","74359","74979","76268","","77004","75892","79035","","","79882","79611","91103","100369","106338","117033","125287","","150041","181655","","","232292","252488","269287","","","","278890","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","31600","","","35977","","","","","","","44499","45428","52021","61532","","","","","","","","","72725","75751","","","","","74940","73377","78477","78390","73771","","75809","","","81099","82417","85061","86821","92029","","","93396","","","","","","",
"Greece","GRC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","907446","905542","909441","922298","927848","935730","937780","932978","922401","899546","900641","891488","890171","888440","889648","887735","865660","868335","853527","834688","813353","784707","749312","723701","710774","675267","652040","648608","645534","645313","636460","646343","652052","657492","650242","645324","639083","","","642639","637020","636713","633534","628753","643762","646577","649246","643187","635950","","",
"Grenada","GRD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","30355","29795","28745","28129","22072","21195","20259","19618","19114","18720","18076","17739","17704","17265","17171","16538","17963","18231","","19180","19811","21365","22345","22576","22679","21097","23313","22286","20017","16178","15974","17378","16598","15819","14427","","13733","13873","14186","13663","","","12948","13061","13445","13196","13464","13195","","","",
"Greenland","GRL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","505691","531122","555975","571294","601189","627126","639783","680274","718846","756541","803404","874697","848116","930130","979888","1016474","1040781","1097851","1149134","","1164937","1249413","1340657","1393921","1412720","1470754","1510811","1544709","1685411","1823989","1909389","1971539","2075694","","2280706","2345301","2405041","2448976","2500575","2659776","2653483","2644683","2556314","2499076","2417429","2381916","2350849","2348863","2362116","2365800","2348398","",
"Guam","GUM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17927","18437","18673","18477","17811","20215","20145","","17744","18037","18093","17945","17807","17353","17130","16783","16733","16660","15516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","130484","130671","131580","132023","","130240","140394","138144","137312","132075","130832","130003","126372","121869","117211","113857","112581","114700","118015","","104241","100116","98134","98132","99664","100252","102000","","107207","108909","109292","","110828","","116756","","109243","107456","100760","99241","98662","94488","","","","","","","","","",
"High income","HIC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","85847240","86227568","86170192","86046616","85033112","84233968","83547984","82730512","82109432","81463616","82923688","82195224","81957008","80767720","79612768","78831640","78421040","78221624","78176408","78389848","78732776","78592544","78431800","78547376","78556224","78942760","79321840","79263240","79623176","79691696","79435464","79104600","78474152","77886064","77550896","77125896","76630408","76484032","76412168","75898400","75640376","75502056","75312752","75448072","75621720","76010560","76384280","76951976","76988080","77067616","77230456","",
"Hong Kong SAR, China","HKG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","739619","739944","725172","704536","677421","642611","606860","574822","553530","542327","540260","537123","538458","539856","536220","534903","531993","534309","535037","534450","524919","515938","501625","485061","476847","467718","","461911","480069","496801","498175","497376","487465","472863","451171","429892","414501","389937","369047","348549","334415","326208","320654","324171","332531","340932","352469","365732","376310","377202","",
"Honduras","HND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","381685","392668","412050","420714","442668","460744","483210","493223","524720","575152","601337","613633","671786","703608","736902","765809","810412","","863313","","889346","908446","959466","990352","1008181","1008092","1032595","1054964","1067582","1080869","1094792","","","1255859","1257358","1231533","1293333","1251733","1276495","1265963","1274904","1259405","1216739","1179022","1150042","1154139","1145093","1123945","","1103956","1080048","",
"Heavily indebted poor countries (HIPC)","HPC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","17615614","18167556","18773434","19676034","20623422","21867952","23534958","25124588","26710186","28206304","29886134","31354768","31798118","32674178","33439172","33763444","34496324","35039884","36071488","36325272","36454420","38525452","38841496","40140852","42055696","44978260","46332836","51070608","53358228","54423748","57845012","62111752","68421624","73424864","78326168","83098928","87850136","92638224","99013792","101644312","104547464","107367800","111674136","114977296","118836448","120985120","125016488","129008144","133503608","137690720","141294256","",
"Croatia","HRV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206976","212986","210212","207890","203933","206121","202999","199084","195638","193179","192004","","196253","194748","190693","182296","174192","167452","162186","159945","160275","160819","162355","162519","162955","161740","159336","","",
"Haiti","HTI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","366846","391220","411009","431607","451140","487135","510716","517723","528611","580127","642391","658102","723041","783070","819565","872500","763412","","","","","926095","996856","1090366","1192986","1305620","1429280","1485722","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","528053","517494","518002","528074","548773","567331","584960","590268","584236","586230","602318","647100","682038","707729","708415","677387","644816","596965","561356","530993","506800","497771","494107","507617","508003","507238","502555","504046","503302","500946","489768","477865","464013","446610","430561","415858","399250","394246","389510","387969","387262","384834","385466","393020","395549","394433","390970","373837","364424","","",
"IBRD only","IBD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","278613088","287384768","297807072","317207424","329976512","343449856","353080032","359749376","359315552","364851392","372828320","378191008","381858560","384291008","388153888","391567584","399533600","396180480","399925152","404943776","407511744","409427360","412354112","418577248","425967424","435105888","441003040","443160064","448524768","447508256","444864416","436972480","425233472","423582560","437217408","434062976","431305856","434274080","433504768","429738016","427387776","425861696","428366176","431245568","424319456","426430528","437006016","437249536","419315424","421705152","428665120","",
"IDA & IBRD total","IBT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","319716128","329594432","343113472","365853280","381240096","397323392","409636608","419617248","422561952","432680896","444394656","454117952","461402976","466902048","472598464","476669728","484988544","483347904","490534592","497430336","501959168","508184992","514416832","524617856","535638528","548163904","555741760","564936448","574983168","577217600","580840000","577813696","573940160","579363072","600390272","604156800","606907008","615061504","619222336","620725696","623412480","628465600","636798720","643274112","641325312","645062848","661845056","667560384","656752512","664103552","674638720","",
"IDA total","IDA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","41499904","42608732","45705628","49006624","51615592","54214368","56887336","60191336","63567796","68154256","71899816","76203352","79896512","82969088","84804888","85461064","85743616","87529208","90977608","92804880","94778896","99103624","102402840","106364912","109999392","113420960","115119120","122215328","126945040","130107040","136366496","141211792","149058160","156118304","163494080","170419392","175912112","181083568","186006448","191284672","196339040","202906608","208724448","212307168","217277088","218913344","225141152","230626192","237769888","242743360","246336240","",
"IDA blend","IDB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","12241343","12879014","13793967","14663489","16093004","16606986","17015506","18710584","20158296","22827668","24527878","26740318","29183566","30606324","31369720","31697284","30923328","31604110","31837040","32436354","33680088","34631400","36182512","38124628","39078852","39280216","38732840","40843100","42839596","44629336","46908284","47701120","48406676","50641048","52874056","54765044","54918240","55517568","54457704","56277116","57810972","59776744","61800748","63449720","64654296","64694292","67343416","68882864","71362304","72285016","72246560","",
"Indonesia","IDN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","14870220","15519557","16140125","16643900","16892010","17776616","18779944","19783270","22024820","","","25537052","27026488","27990276","29108580","29909188","29897116","29882556","29999990","30130564","29933790","29753576","29577704","29598790","29876196","29721860","29447990","29236284","29273302","29294928","28508964","28690132","28926376","29050834","29142092","29149746","28982708","29796704","29498266","29901052","30341820","30662440","30784378","30109356","29838440","29699772","29450356","29351816","29425748","","","",
"IDA only","IDX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","28861680","29330658","31512428","33982352","35170560","37266532","39541076","41157280","43088104","45001836","47038440","49186624","50360844","52004740","53074832","53404856","54531608","55563320","58772384","60050204","60767336","64126232","65880204","67915992","70592248","73777776","76005856","80933280","83618784","85080032","89067296","93140096","100300000","105139464","110298824","115328800","120682928","125269848","131259896","134710544","138213744","142827168","146631792","148578816","152351536","153938032","157495616","161428016","166074784","170113376","173727040","",
"Isle of Man","IMN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","57045440","58818644","62400628","63125100","64855640","65660024","69060728","67360992","68602224","71183224","73873184","76105904","79506944","82590192","83932704","87440512","87129224","90459728","95739976","97318112","99118320","101577088","105370216","108200536","109043664","109734288","110390408","109412904","110985880","113612544","113826976","115194576","125568600","","","","137742640","139317984","138368128","138413840","137746816","139869904","141154752","137808912","138518032","145802544","143227424","","120064160","121700216","",
"Not classified","INX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","399700","399560","403700","399894","402219","404818","406432","410402","414624","418247","419998","420871","421539","420444","420665","420236","422150","423402","423662","422396","416747","408567","402226","391998","380983","367689","358830","465186","456564","449638","443617","445947","447618","450413","454060","461588","475836","486921","498838","506400","511466","518223","527768","536471","544856","553585","559151","564304","568495","","",
"Iran, Islamic Rep.","IRN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3415650","3230880","3445528","3646421","4119157","4468299","4768588","5020686","4395000","4929000","4799000","5283377","5592808","5994403","6343300","6788323","7232820","7757707","8262441","8817145","9369646","9787593","9937369","9862817","9745600","9593784","9238393","9065214","8667147","8287537","7968437","7513015","7028924","6647917","6206718","6006553","5827851","5725620","5695590","5629585","5678434","5746859","7857540","7441078","7670175","8006278","8171667","","8533709","8670052","",
"Iraq","IRQ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1098865","1195530","1297756","1408929","1523955","1776095","1949718","2048566","2459999","2609182","2615910","2637023","2620883","2698542","2754887","2816326","2920959","2996953","3023132","","3328212","2824556","2857467","","","2903923","","","3603864","3639362","","","4280602","4334609","","","4864350","","","","","","","","","","","","","","",
"Iceland","ISL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27066","27336","27217","27046","26922","26418","25924","25138","24687","24599","24736","24809","25018","25280","25058","24603","24560","25108","25420","25525","29816","29649","29351","28960","29138","29221","29342","29705","30355","31282","31786","31465","31470","30984","30785","30421","30084","29945","29860","29568","29432","29387","29578","29892","30422","31194","31981","32421","32811","","",
"Israel","ISR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","388057","396193","405759","416206","427923","441226","452905","474427","487345","500721","517174","527968","534025","537547","534514","537493","533635","525606","544748","567496","582504","595525","618513","631916","","","662329","676676","684986","693567","702128","714410","721999","736255","757809","769328","786094","807424","821481","842079","848721","861699","883706","896526","917118","936214","957167","","",
"Italy","ITA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","4856953","4926336","4973881","4969667","4927452","4833415","4735301","4648504","4562441","4506566","4422888","4332584","4204272","4062756","3904143","3703108","3518316","3370509","3237594","3140113","3055883","3004264","2959564","2863279","2815631","2816128","2810158","2818053","2875852","2836333","2810337","2789880","2778877","2768386","2771247","2790254","2820150","2830056","2819193","2822146","2827564","2818734","2860957","2862666","2856247","2831821","2902379","2870763","2834910","","",
"Jamaica","JAM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","376075","387740","379496","395036","372260","371876","367525","368046","370516","363420","359488","363593","361426","355248","347705","340059","342569","333997","339163","339023","339500","","333104","","","","","","319690","326847","328496","329762","325302","331286","326411","","310021","315129","312262","294285","289612","283628","278331","266201","259449","253196","246972","248836","232694","220074","",
"Jordan","JOR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","277619","298802","326111","352696","371631","386012","402401","414490","431107","448411","454391","467696","473027","487890","504226","530906","542519","570795","575464","590275","618274","651783","669755","675316","677945","683400","","692550","706198","723508","","766093","786154","799888","804904","805457","807702","817160","","819601","834958","849390","883453","979792","","1049674","1106611","1133982","1147202","1126254","",
"Japan","JPN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","9630815","9728516","9825682","9816536","10088776","10364846","10609985","10819651","11146874","11629110","11826573","11924653","11901520","11739452","11464221","11095372","10665404","10226323","9872520","9606627","9373295","9157429","8947226","8798082","8612106","8370246","8105629","7883565","7691872","7528907","7394582","7325866","7268928","7257223","7231854","7229135","7220111","7166285","7156039","7098862","7029265","6923951","6801716","6714539","6638174","6581949","6531731","6504523","6494115","","",
"Kazakhstan","KAZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","1064000","","","","","1147700","","","1142400","1162777","1205572","1239817","1258529","1251111","1367066","1372600","1342035","1290810","1248900","1208320","1190069","1158299","1120005","1079598","1023974","972931","947807","956019","950976","957919","985599","1008459","1056916","1122282","1196027","1273774","1356500","1406967","1461448","1513077","",
"Kenya","KEN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1263738","1352348","1492679","1621142","2491606","2653716","2651403","2737709","2736389","3416557","3575222","3612669","3813077","3938522","3927269","3884806","4012777","4138463","4212741","4389718","4389124","4437893","4514876","4610074","4557496","4540147","","","4828169","4782375","5034858","5148371","4903529","5811381","5926078","6075706","6101390","6687510","6868810","7150259","","","8053125","","8158000","8168710","8290450","","","","","",
"Kyrgyz Republic","KGZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","306000","","","","","342600","","","332900","340800","352204","361163","369172","380595","387580","473463","477914","473488","469779","465596","458660","453357","449399","444417","434155","423930","407669","399833","392485","390711","390963","405318","419064","434642","451212","469852","501011","528627","551210","565711","",
"Cambodia","KHM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","337729","484088","479616","","","","","","","","1328053","1538838","1597081","1504839","1367089","1315531","1294227","1279053","1313689","1276960","1329573","","","1621685","1703316","","1918985","2011772","2127428","2248109","2431142","2728698","2772113","2762882","2695372","2582250","2479644","2340606","2289759","2272527","2224267","2194716","2224955","2128685","2178916","2105903","2111631","2147313","2163143","2165444","",
"Kiribati","KIR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","11125","13962","11540","","14862","12792","13679","13481","13192","13235","13383","13836","13612","13194","13440","13331","13242","13551","14321","14709","15570","16020","16316","16800","17017","17279","17594","17557","14328","14566","15693","14809","15798","15611","16133","16087","15764","16123","15566","","","","","16192","15915","16880","16695","","","18404","",
"St. Kitts and Nevis","KNA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","8804","8724","8223","7818","8320","7149","7074","","8070","7655","7810","7796","7585","7473","7665","7249","7236","7068","7092","6938","","","6388","","6922","6717","6440","6401","6394","6350","","6172","6474","6334","6255","5993","5812","5589","5533","5466","5452","","","","","",
"Korea, Rep.","KOR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5749301","5807448","5775880","5692285","5618768","5599074","5503737","5514417","5604365","5640712","5658002","5586494","5465248","5257164","5040958","4856752","4798323","4771722","4819857","4894261","4868520","4758505","4560128","4347317","4110302","3915848","3794447","3844949","3945977","4030413","4099649","4148432","4185330","4125529","4031590","3933186","3837761","3679629","3481764","3306211","3139724","2959090","2790890","2736224","2721766","2680126","2681815","2719358","2755682","","",
"Kuwait","KWT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","75513","81671","88299","94039","101876","111820","125120","135479","139443","145626","148983","154772","160188","165696","170616","172975","176378","181607","185464","189560","124996","114641","122930","129956","131264","141841","143286","142308","139691","140182","141419","148712","154056","158271","202826","203423","211576","208608","210665","213733","223688","230280","239231","252585","264185","271285","275334","279956","276318","278958","",
"Latin America & Caribbean (excluding high income)","LAC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","38256584","40039672","41112820","42547792","43614164","44219452","44835544","46541956","47977420","50369544","51438668","52271016","53541844","53864792","55575308","55864964","60332484","56455824","57767520","57349300","59285024","58247780","59200724","59936816","60801432","65126048","65735524","63251056","65970312","64403972","64068944","63743672","63780432","63327016","63380044","62964344","62564868","62428812","62068808","61954824","61332080","60760976","59986012","60267936","59549296","58777008","58310648","57957552","57684024","57482340","58147544","",
"Lao PDR","LAO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","244803","266790","274067","","","317126","414423","424330","451814","463098","479291","480535","480871","485741","495375","523347","","558852","","563734","576472","580792","637359","681044","710702","757551","786335","821546","827664","831521","828113","852857","875300","884629","890821","891881","891807","900817","908880","916341","900123","883938","878283","870893","850466","827987","808705","786246","770659","760566","",
"Lebanon","LBN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","435066","","","448535","","","","380695","","388482","405402","398977","382500","","329340","","399029","","346534","","","345662","346763","360858","365174","367862","382309","397905","413753","404169","476489","474396","471777","476446","475798","470988","473134","467311","464442","461719","456985","456206","471626","480923","491455","486613","502505","509280","516514","517092","",
"Liberia","LBR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","80217","84959","90192","","","104056","100217","","129776","134658","147216","","","","132889","","","","","","","","","","","","","","296188","395611","496253","","","","","","488438","","539887","605236","","674534","","","683977","684404","655049","635478","","","","",
"Libya","LBY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","350225","407805","455449","488882","522473","556169","571723","574770","630423","645186","662843","","721710","","","748733","","","","","","","","","","","","","821775","","766087","750204","739028","745428","713902","755338","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","23484","25430","27256","28422","29090","29859","30899","31091","31441","30610","29605","31199","31795","32107","33032","32817","32798","32809","33120","33148","33006","32622","32545","31928","30486","31194","31615","31548","25581","25347","25481","24954","24573","23821","23573","24046","22028","20938","20187","19483","18894","18172","17748","17286","16822","16445","16054","15874","15693","15478","",
"Latin America & Caribbean","LCN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","42898676","44875564","46042472","47547668","48605388","49197976","49864344","51650336","53154728","55585708","56800332","57702408","58955292","59269064","60944560","61314168","65814568","62035456","63378108","63022644","65053224","64171080","65189816","65950968","66797592","71110160","71700592","69261608","72011336","70466760","70185912","69925840","70007176","69453528","69544904","69076440","68646336","68554848","68080224","67930760","67227608","66609504","65828132","66101296","65342328","64549904","63975648","63557660","63216808","62995144","63626760","",
"Least developed countries: UN classification","LDC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","25606430","25944702","28026408","30306708","31418540","33443852","35576836","37128736","39031748","40845780","42787112","44559004","45387892","46752292","47553736","47427284","48502924","49284596","52323736","53342088","53874720","56757400","58217008","60173592","62568020","65683856","67734320","72434272","75001592","76334528","80151384","84244000","91143472","96906408","101962608","106820416","112026816","117641320","123518576","127054536","130469816","135519856","139104288","142088224","145247552","146628016","150187216","154124320","158834480","162809600","166487440","",
"Low income","LIC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","15454318","15702041","16079491","16750177","17519528","18362946","19527632","20668666","21365774","22291274","23460306","24368348","24471852","24866318","25389092","25630572","26158998","26490970","27342284","27447374","27481852","29123172","29308340","30292810","31857122","34451236","35548368","39550188","41537056","42350764","45108632","48294536","53046460","56450344","60064300","63860512","67720224","71509512","76873112","79508152","81677144","84111376","87283208","89404992","93501216","94495152","97619864","100683784","104238344","107360696","110262056","",
"Liechtenstein","LIE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2218","2266","2242","2247","2244","2158","2133","2067","2014","1980","","1929","1977","1998","2005","1999","1979","","",
